prev_month,active_prev,retained_next,churned,churn_rate
2016-09,4,0,4,1.0
2016-10,321,0,321,1.0
2016-12,1,1,0,0.0
2017-01,765,3,762,0.9961
2017-02,1755,4,1751,0.9977
2017-03,2642,13,2629,0.9951
2017-04,2372,14,2358,0.9941
2017-05,3625,18,3607,0.995
2017-06,3180,17,3163,0.9947
2017-07,3947,23,3924,0.9942
2017-08,4246,33,4213,0.9922
2017-09,4212,32,4180,0.9924
2017-10,4561,37,4524,0.9919
2017-11,7430,41,7389,0.9945
2017-12,5603,19,5584,0.9966
2018-01,7166,28,7138,0.9961
2018-02,6569,26,6543,0.996
2018-03,7115,36,7079,0.9949
2018-04,6882,45,6837,0.9935
2018-05,6814,39,6775,0.9943
2018-06,6128,26,6102,0.9958
2018-07,6230,50,6180,0.992
2018-08,6460,8,6452,0.9988
2018-09,14,1,13,0.9286
2018-10,4,0,4,1.0
